Name	GND ID	place of birth	Geburtsdatum	Geburtsjahr
Ernst Jünger	118558587	Heidelberg	29.03.1895	1895
Hilde Domin	118526634	Cologne	27. Juli 1909	1909
Hermann Hesse	11855042X	Calw	2.7.1877	1877
Gertrud von Le Fort	118570951	Minden	11.10.1876	1876
Johann Wolfgang von Goethe	118540238	Frankfurt	1749	1749
Sarah Kirsch	118562487	Limlingerode	1935	1935
Friedrich Schiller	118607626	Marbach am Neckar	10. November 1759	1759
Ricarda Huch	118554190	Brunswick	18.7.1864	1864
Karl Wolfskehl	118634976	Darmstadt	1869	1869
Luise Rinser	118601172	Pitzling	30. April 1911	1911
